"person_uri","organisation_uri","organisation_label","relationship"
http://www.wikidata.org/entity/Q1072114,http://www.wikidata.org/entity/Q59421313,Higher Art School at the Imperial Academy of Arts,employment
http://www.wikidata.org/entity/Q1072114,http://www.wikidata.org/entity/Q628254,Imperial Academy of Arts,education
http://www.wikidata.org/entity/Q1072114,http://www.wikidata.org/entity/Q628254,Imperial Academy of Arts,membership
http://www.wikidata.org/entity/Q107647521,http://www.wikidata.org/entity/Q3153288,International News Service,employment
http://www.wikidata.org/entity/Q107647521,http://www.wikidata.org/entity/Q493845,United Press International,employment
http://www.wikidata.org/entity/Q1077344,http://www.wikidata.org/entity/Q1075339,Ohio University,education
http://www.wikidata.org/entity/Q1077344,http://www.wikidata.org/entity/Q1132346,North Carolina State University,education
http://www.wikidata.org/entity/Q1077344,http://www.wikidata.org/entity/Q7704982,Terry Sanford High School,education
http://www.wikidata.org/entity/Q108263442,http://www.wikidata.org/entity/Q1427385,Tygodnik Powszechny,employment
http://www.wikidata.org/entity/Q108263442,http://www.wikidata.org/entity/Q144488,University of Warsaw,education
http://www.wikidata.org/entity/Q108306133,http://www.wikidata.org/entity/Q109743508,Writers' Union of the Donetsk People's Republic,membership
http://www.wikidata.org/entity/Q108306133,http://www.wikidata.org/entity/Q112173732,Writer's Union of Lugansk People's Republic,membership
http://www.wikidata.org/entity/Q108306133,http://www.wikidata.org/entity/Q1458695,National University of Kharkiv,education
http://www.wikidata.org/entity/Q108306133,http://www.wikidata.org/entity/Q3920305,Union of Writers of Russia,membership
http://www.wikidata.org/entity/Q108321855,http://www.wikidata.org/entity/Q158689,Ministry of Public Enlightenment and Propaganda,employment
http://www.wikidata.org/entity/Q108321855,http://www.wikidata.org/entity/Q414110,"Academy of Arts, Berlin",education
http://www.wikidata.org/entity/Q108400542,http://www.wikidata.org/entity/Q118929466,"Faculty of Law, University of Baghdad",education
http://www.wikidata.org/entity/Q108400542,http://www.wikidata.org/entity/Q310842,Al-Mustansiriya University,education
http://www.wikidata.org/entity/Q108429845,http://www.wikidata.org/entity/Q192088,Eton College,education
http://www.wikidata.org/entity/Q108429845,http://www.wikidata.org/entity/Q50008,The Times,employment
http://www.wikidata.org/entity/Q108429845,http://www.wikidata.org/entity/Q7593001,St Edmund's School,education
http://www.wikidata.org/entity/Q108561804,http://www.wikidata.org/entity/Q13477,Al Jazeera,employment
http://www.wikidata.org/entity/Q108561804,http://www.wikidata.org/entity/Q285738,Al-Hayat,employment
http://www.wikidata.org/entity/Q108561804,http://www.wikidata.org/entity/Q3918518,International Islamic University Islamabad,education
http://www.wikidata.org/entity/Q108561804,http://www.wikidata.org/entity/Q3918532,University of Peshawar,education
http://www.wikidata.org/entity/Q108561804,http://www.wikidata.org/entity/Q724844,Asharq Al-Awsat,employment
http://www.wikidata.org/entity/Q108649,http://www.wikidata.org/entity/Q1378924,Eutiner Dichterkreis,membership
http://www.wikidata.org/entity/Q108649,http://www.wikidata.org/entity/Q44687,Schutzstaffel,membership
http://www.wikidata.org/entity/Q108695632,http://www.wikidata.org/entity/Q34433,University of Oxford,education
http://www.wikidata.org/entity/Q108695632,http://www.wikidata.org/entity/Q49088,Columbia University,education
http://www.wikidata.org/entity/Q109326653,http://www.wikidata.org/entity/Q28918202,À Punt,employment
http://www.wikidata.org/entity/Q109326653,http://www.wikidata.org/entity/Q2935942,Nou,employment
http://www.wikidata.org/entity/Q109326653,http://www.wikidata.org/entity/Q383568,University of Valencia,employment
http://www.wikidata.org/entity/Q109326653,http://www.wikidata.org/entity/Q43452,Autonomous University of Barcelona,education
http://www.wikidata.org/entity/Q109773247,http://www.wikidata.org/entity/Q109311159,Lycée Charlie-Chaplin (Décines-Charpieu),education
http://www.wikidata.org/entity/Q109773247,http://www.wikidata.org/entity/Q2120364,Radio France,employment
http://www.wikidata.org/entity/Q109773247,http://www.wikidata.org/entity/Q2946096,Centre universitaire d’enseignement du journalisme,education
http://www.wikidata.org/entity/Q109773247,http://www.wikidata.org/entity/Q3151959,Grenoble Institute of Political Studies,education
http://www.wikidata.org/entity/Q109773247,http://www.wikidata.org/entity/Q525894,France 2,employment
http://www.wikidata.org/entity/Q109851759,http://www.wikidata.org/entity/Q627969,University of Ottawa,education
http://www.wikidata.org/entity/Q1104100,http://www.wikidata.org/entity/Q3272069,Art Center College of Design,education
http://www.wikidata.org/entity/Q110647631,http://www.wikidata.org/entity/Q86475061,Dienst voor Legercontacten Indonesië,employment
http://www.wikidata.org/entity/Q110990047,http://www.wikidata.org/entity/Q11441498,Osaka Mainichi Shimbun,employment
http://www.wikidata.org/entity/Q110990047,http://www.wikidata.org/entity/Q3577924,Tokyo Academy of Fine Arts,education
http://www.wikidata.org/entity/Q111013476,http://www.wikidata.org/entity/Q430417,Cégep de Jonquière,education
http://www.wikidata.org/entity/Q111013476,http://www.wikidata.org/entity/Q461761,Canadian Broadcasting Corporation,employment
http://www.wikidata.org/entity/Q111288494,http://www.wikidata.org/entity/Q54829,RTVE,employment
http://www.wikidata.org/entity/Q111288494,http://www.wikidata.org/entity/Q5854722,Facultad de Ciencias Políticas y Sociología (Universidad Complutense de Madrid),education
http://www.wikidata.org/entity/Q111288494,http://www.wikidata.org/entity/Q5854766,"Faculty of Information Sciences, Complutense University of Madrid",education
http://www.wikidata.org/entity/Q111305264,http://www.wikidata.org/entity/Q15280975,Hromadske.TV,employment
http://www.wikidata.org/entity/Q111305264,http://www.wikidata.org/entity/Q485500,Radio Free Europe/Radio Liberty,employment
http://www.wikidata.org/entity/Q111305264,http://www.wikidata.org/entity/Q904463,Ukrainska Pravda,employment
http://www.wikidata.org/entity/Q111331681,http://www.wikidata.org/entity/Q15857340,Ukrainian Association of Professional Photographers,membership
http://www.wikidata.org/entity/Q111331681,http://www.wikidata.org/entity/Q2095222,Ukrainian Independent Information Agency,employment
http://www.wikidata.org/entity/Q111331681,http://www.wikidata.org/entity/Q40469,Associated Press,employment
http://www.wikidata.org/entity/Q111331681,http://www.wikidata.org/entity/Q85449,Igor Sikorsky Kyiv Polytechnic Institute,education
http://www.wikidata.org/entity/Q1113742,http://www.wikidata.org/entity/Q11148,The Guardian,employment
http://www.wikidata.org/entity/Q1113742,http://www.wikidata.org/entity/Q13717,Libération,employment
http://www.wikidata.org/entity/Q1113742,http://www.wikidata.org/entity/Q180089,The Economist,employment
http://www.wikidata.org/entity/Q1113742,http://www.wikidata.org/entity/Q192621,The Daily Telegraph,employment
http://www.wikidata.org/entity/Q1113742,http://www.wikidata.org/entity/Q193196,University College London,education
http://www.wikidata.org/entity/Q1113742,http://www.wikidata.org/entity/Q675848,University of Zagreb,education
http://www.wikidata.org/entity/Q111433321,http://www.wikidata.org/entity/Q13416137,Military University of the Ministry of Defense of the Russian Federation,education
http://www.wikidata.org/entity/Q111461680,http://www.wikidata.org/entity/Q4402655,Sergei Yesenin Ryazan State University,education
http://www.wikidata.org/entity/Q111469300,http://www.wikidata.org/entity/Q16969435,"114th Separate Guards Motorized Rifle Brigade",membership
http://www.wikidata.org/entity/Q111469300,http://www.wikidata.org/entity/Q18572033,Sputnik,employment
http://www.wikidata.org/entity/Q111469300,http://www.wikidata.org/entity/Q1967560,National Organization for the Reform of Marijuana Laws,membership
http://www.wikidata.org/entity/Q111469300,http://www.wikidata.org/entity/Q4446843,Essence of Time,membership
http://www.wikidata.org/entity/Q111685918,http://www.wikidata.org/entity/Q1819581,The Daily Telegraph,employment
http://www.wikidata.org/entity/Q111685918,http://www.wikidata.org/entity/Q4294411,Department of Information,employment
http://www.wikidata.org/entity/Q111765027,http://www.wikidata.org/entity/Q214683,TF1,employment
http://www.wikidata.org/entity/Q111765027,http://www.wikidata.org/entity/Q2399994,ECPAD,employment
http://www.wikidata.org/entity/Q111765027,http://www.wikidata.org/entity/Q3415730,RTF Télévision,employment
http://www.wikidata.org/entity/Q111765027,http://www.wikidata.org/entity/Q362280,Office de radiodiffusion télévision française,employment
http://www.wikidata.org/entity/Q111793104,http://www.wikidata.org/entity/Q505170,Leuphana University of Lüneburg,education
http://www.wikidata.org/entity/Q111838183,http://www.wikidata.org/entity/Q1960862,East Ukrainian Volodymyr Dahl National University,education
http://www.wikidata.org/entity/Q112054838,http://www.wikidata.org/entity/Q1075339,Ohio University,employment
http://www.wikidata.org/entity/Q112054838,http://www.wikidata.org/entity/Q2042418,Overseas Press Club,membership
http://www.wikidata.org/entity/Q112054838,http://www.wikidata.org/entity/Q238101,University of Minnesota,education
http://www.wikidata.org/entity/Q112054838,http://www.wikidata.org/entity/Q3550711,United Press,employment
http://www.wikidata.org/entity/Q112054838,http://www.wikidata.org/entity/Q47596,Chicago Tribune,employment
http://www.wikidata.org/entity/Q112054838,http://www.wikidata.org/entity/Q577417,Chicago Sun-Times,employment
http://www.wikidata.org/entity/Q112074603,http://www.wikidata.org/entity/Q610190,Daily Express,employment
http://www.wikidata.org/entity/Q112103588,http://www.wikidata.org/entity/Q2095955,The Courier-Mail,employment
http://www.wikidata.org/entity/Q112103588,http://www.wikidata.org/entity/Q390216,The Sydney Morning Herald,employment
http://www.wikidata.org/entity/Q112103588,http://www.wikidata.org/entity/Q487556,University of Sydney,education
http://www.wikidata.org/entity/Q112103588,http://www.wikidata.org/entity/Q7762626,The Scots College,education
http://www.wikidata.org/entity/Q112263,http://www.wikidata.org/entity/Q51985,Technische Universität Berlin,education
http://www.wikidata.org/entity/Q112326997,http://www.wikidata.org/entity/Q701165,maquis,membership
http://www.wikidata.org/entity/Q112326997,http://www.wikidata.org/entity/Q7894025,Universal Newsreel,employment
http://www.wikidata.org/entity/Q112326997,http://www.wikidata.org/entity/Q9531,British Broadcasting Corporation,employment
http://www.wikidata.org/entity/Q112546143,http://www.wikidata.org/entity/Q210534,Daily Mail,employment
http://www.wikidata.org/entity/Q112546143,http://www.wikidata.org/entity/Q610190,Daily Express,employment
http://www.wikidata.org/entity/Q1133092,http://www.wikidata.org/entity/Q1425328,USSR Union of Writers,membership
http://www.wikidata.org/entity/Q1133092,http://www.wikidata.org/entity/Q3401716,The First Saint-Petersburg Gymnasium,education
http://www.wikidata.org/entity/Q113499941,http://www.wikidata.org/entity/Q131859346,Polonia,employment
http://www.wikidata.org/entity/Q113499941,http://www.wikidata.org/entity/Q4707862,Dziennik Zachodni,employment
http://www.wikidata.org/entity/Q113499941,http://www.wikidata.org/entity/Q6001312,Ilustrowany Kurier Codzienny,employment
http://www.wikidata.org/entity/Q113499941,http://www.wikidata.org/entity/Q9396244,Światowid,employment
http://www.wikidata.org/entity/Q113703431,http://www.wikidata.org/entity/Q130879,Reuters,employment
http://www.wikidata.org/entity/Q113703431,http://www.wikidata.org/entity/Q1397143,Fars News Agency,employment
http://www.wikidata.org/entity/Q113703431,http://www.wikidata.org/entity/Q1475722,Mehr News Agency,employment
http://www.wikidata.org/entity/Q113841599,http://www.wikidata.org/entity/Q3148456,Il Foglio,employment
http://www.wikidata.org/entity/Q113841599,http://www.wikidata.org/entity/Q3831975,L.S.S. Camillo Cavour,education
http://www.wikidata.org/entity/Q113841599,http://www.wikidata.org/entity/Q959524,Bocconi University,education
http://www.wikidata.org/entity/Q114404304,http://www.wikidata.org/entity/Q1458675,National Film School in Łódź,education
http://www.wikidata.org/entity/Q114404304,http://www.wikidata.org/entity/Q189441,Jagiellonian University,education
http://www.wikidata.org/entity/Q114515974,http://www.wikidata.org/entity/Q40469,Associated Press,employment
http://www.wikidata.org/entity/Q114515974,http://www.wikidata.org/entity/Q493294,Technical University of Civil Engineering of Bucharest,education
http://www.wikidata.org/entity/Q11488414,http://www.wikidata.org/entity/Q1323040,Hosei University,education
http://www.wikidata.org/entity/Q115037452,http://www.wikidata.org/entity/Q1096870,Index,employment
http://www.wikidata.org/entity/Q115037452,http://www.wikidata.org/entity/Q545531,Heti Világgazdaság,employment
http://www.wikidata.org/entity/Q115037452,http://www.wikidata.org/entity/Q98924172,telex.hu,employment
http://www.wikidata.org/entity/Q115324718,http://www.wikidata.org/entity/Q6296271,Journalists' Union of the Athens Daily Newspapers,membership
http://www.wikidata.org/entity/Q115324718,http://www.wikidata.org/entity/Q953421,Panteion University,education
http://www.wikidata.org/entity/Q115407029,http://www.wikidata.org/entity/Q649695,Islamic Republic News Agency,employment
http://www.wikidata.org/entity/Q115408489,http://www.wikidata.org/entity/Q5962370,Jihad Sazandegi,employment
http://www.wikidata.org/entity/Q115408489,http://www.wikidata.org/entity/Q649695,Islamic Republic News Agency,employment
http://www.wikidata.org/entity/Q115408555,http://www.wikidata.org/entity/Q271110,Islamic Revolutionary Guard Corps,employment
http://www.wikidata.org/entity/Q115408555,http://www.wikidata.org/entity/Q737835,University of Tehran,education
http://www.wikidata.org/entity/Q115409015,http://www.wikidata.org/entity/Q1674127,Islamic Republic of Iran Broadcasting,employment
http://www.wikidata.org/entity/Q115409015,http://www.wikidata.org/entity/Q5962370,Jihad Sazandegi,employment
http://www.wikidata.org/entity/Q11562820,http://www.wikidata.org/entity/Q1539129,Meiji Gakuin University,education
http://www.wikidata.org/entity/Q1158512,http://www.wikidata.org/entity/Q5109373,St Mary's College,education
http://www.wikidata.org/entity/Q1158512,http://www.wikidata.org/entity/Q7593891,St Kevin's College,education
http://www.wikidata.org/entity/Q1158512,http://www.wikidata.org/entity/Q7595467,St Stanislaus' College,education
http://www.wikidata.org/entity/Q115963230,http://www.wikidata.org/entity/Q40464,Agence France-Presse,employment
http://www.wikidata.org/entity/Q116009710,http://www.wikidata.org/entity/Q1190356,RTBF,employment
http://www.wikidata.org/entity/Q116009710,http://www.wikidata.org/entity/Q1502191,Graduate Institute of International Studies,education
http://www.wikidata.org/entity/Q116062773,http://www.wikidata.org/entity/Q1540876,Saint Petersburg State University of Cinema and Television,education
http://www.wikidata.org/entity/Q116062773,http://www.wikidata.org/entity/Q223799,TASS,employment
http://www.wikidata.org/entity/Q116062773,http://www.wikidata.org/entity/Q4110185,Вечерний Ленинград,employment
http://www.wikidata.org/entity/Q116062773,http://www.wikidata.org/entity/Q4146886,State Museum of the History of St. Petersburg,employment
http://www.wikidata.org/entity/Q116062773,http://www.wikidata.org/entity/Q4430490,Union of Soviet Journalists,membership
http://www.wikidata.org/entity/Q116062773,http://www.wikidata.org/entity/Q951623,Sovetskaya Rossiya,employment
http://www.wikidata.org/entity/Q116173859,http://www.wikidata.org/entity/Q111028947,The Kyiv Independent,employment
http://www.wikidata.org/entity/Q116173859,http://www.wikidata.org/entity/Q17584319,Ukraine News Today,employment
http://www.wikidata.org/entity/Q116173859,http://www.wikidata.org/entity/Q1795015,Kyiv Post,employment
http://www.wikidata.org/entity/Q116173859,http://www.wikidata.org/entity/Q4281580,Mariupol State University,education
http://www.wikidata.org/entity/Q117121102,http://www.wikidata.org/entity/Q1065,United Nations,employment
http://www.wikidata.org/entity/Q117121102,http://www.wikidata.org/entity/Q35525,White House,employment
http://www.wikidata.org/entity/Q117121102,http://www.wikidata.org/entity/Q40469,Associated Press,employment
http://www.wikidata.org/entity/Q11715707,http://www.wikidata.org/entity/Q11833454,Radio Plus,employment
http://www.wikidata.org/entity/Q11715707,http://www.wikidata.org/entity/Q129110,Telewizja Polska,employment
http://www.wikidata.org/entity/Q11715707,http://www.wikidata.org/entity/Q1416331,Cardinal Stefan Wyszyński University in Warsaw,employment
http://www.wikidata.org/entity/Q11715707,http://www.wikidata.org/entity/Q144488,University of Warsaw,employment
http://www.wikidata.org/entity/Q11715707,http://www.wikidata.org/entity/Q1736541,Gdańsk Shipyard,employment
http://www.wikidata.org/entity/Q11715707,http://www.wikidata.org/entity/Q174240,Transparency International,employment
http://www.wikidata.org/entity/Q11715707,http://www.wikidata.org/entity/Q175529,John Paul II Catholic University of Lublin,education
http://www.wikidata.org/entity/Q11715707,http://www.wikidata.org/entity/Q2164678,Rzeczpospolita,employment
http://www.wikidata.org/entity/Q11715707,http://www.wikidata.org/entity/Q2339220,Urząd Ochrony Państwa,employment
http://www.wikidata.org/entity/Q11715707,http://www.wikidata.org/entity/Q3888048,Gazeta Polska,employment
http://www.wikidata.org/entity/Q11715707,http://www.wikidata.org/entity/Q393231,Życie Warszawy,employment
http://www.wikidata.org/entity/Q11715707,http://www.wikidata.org/entity/Q446161,TV Puls,employment
http://www.wikidata.org/entity/Q11715707,http://www.wikidata.org/entity/Q741296,Gazeta Wyborcza,employment
http://www.wikidata.org/entity/Q11715707,http://www.wikidata.org/entity/Q9356563,Telewizyjna Agencja Informacyjna,employment
http://www.wikidata.org/entity/Q11715707,http://www.wikidata.org/entity/Q9380729,Higher School of Journalism in Warsaw,employment
http://www.wikidata.org/entity/Q11715707,http://www.wikidata.org/entity/Q9397665,Życie,employment
http://www.wikidata.org/entity/Q11715707,http://www.wikidata.org/entity/Q953299,Wyższa Szkoła Biznesu – National-Louis University,employment
http://www.wikidata.org/entity/Q117220565,http://www.wikidata.org/entity/Q271110,Islamic Revolutionary Guard Corps,employment
http://www.wikidata.org/entity/Q11749538,http://www.wikidata.org/entity/Q144488,University of Warsaw,employment
http://www.wikidata.org/entity/Q11749538,http://www.wikidata.org/entity/Q189441,Jagiellonian University,employment
http://www.wikidata.org/entity/Q11749538,http://www.wikidata.org/entity/Q9379440,Faculty of Physics of the University of Warsaw,education
http://www.wikidata.org/entity/Q117819787,http://www.wikidata.org/entity/Q193510,University of Padua,education
http://www.wikidata.org/entity/Q118876501,http://www.wikidata.org/entity/Q11220,United States Navy,employment
http://www.wikidata.org/entity/Q118876501,http://www.wikidata.org/entity/Q658626,Office of Strategic Services,employment
http://www.wikidata.org/entity/Q118876501,http://www.wikidata.org/entity/Q7014854,New York World-Telegram,employment
http://www.wikidata.org/entity/Q118876501,http://www.wikidata.org/entity/Q7053826,North American Newspaper Alliance,employment
http://www.wikidata.org/entity/Q11904754,http://www.wikidata.org/entity/Q12465,Avui,employment
http://www.wikidata.org/entity/Q11904754,http://www.wikidata.org/entity/Q219615,University of Barcelona,employment
http://www.wikidata.org/entity/Q11904754,http://www.wikidata.org/entity/Q43452,Autonomous University of Barcelona,education
http://www.wikidata.org/entity/Q11904754,http://www.wikidata.org/entity/Q565444,Tele/eXpres,employment
http://www.wikidata.org/entity/Q120085,http://www.wikidata.org/entity/Q1109549,Collier's,employment
http://www.wikidata.org/entity/Q120085,http://www.wikidata.org/entity/Q1329873,The New Republic,employment
http://www.wikidata.org/entity/Q120085,http://www.wikidata.org/entity/Q1542536,The Atlantic,employment
http://www.wikidata.org/entity/Q120085,http://www.wikidata.org/entity/Q3550711,United Press,employment
http://www.wikidata.org/entity/Q120085,http://www.wikidata.org/entity/Q6224030,John Burroughs School,education
http://www.wikidata.org/entity/Q120085,http://www.wikidata.org/entity/Q995265,Bryn Mawr College,education
http://www.wikidata.org/entity/Q120615740,http://www.wikidata.org/entity/Q166180,France 24,employment
http://www.wikidata.org/entity/Q12105929,http://www.wikidata.org/entity/Q12166967,Kharkiv Electromechanical Plant,employment
http://www.wikidata.org/entity/Q12105929,http://www.wikidata.org/entity/Q4314796,National Academy of Visual Arts and Architecture,education
http://www.wikidata.org/entity/Q12105929,http://www.wikidata.org/entity/Q4314796,National Academy of Visual Arts and Architecture,employment
http://www.wikidata.org/entity/Q12105929,http://www.wikidata.org/entity/Q4315103,National Union of Artists of Ukraine,membership
http://www.wikidata.org/entity/Q12105929,http://www.wikidata.org/entity/Q7167897,Perets',employment
http://www.wikidata.org/entity/Q12133605,http://www.wikidata.org/entity/Q1130457,Gerasimov Institute of Cinematography,education
http://www.wikidata.org/entity/Q12133605,http://www.wikidata.org/entity/Q12166950,institut d'éducation populaire de Kharkov,education
http://www.wikidata.org/entity/Q12133605,http://www.wikidata.org/entity/Q2030806,National Writers' Union of Ukraine,membership
http://www.wikidata.org/entity/Q12171471,http://www.wikidata.org/entity/Q12074611,"Taras Shevchenko National University of Kyiv, Institute of Journalism",education
http://www.wikidata.org/entity/Q12171471,http://www.wikidata.org/entity/Q1989628,Oles Honchar Dnipro National University,education
http://www.wikidata.org/entity/Q122665124,http://www.wikidata.org/entity/Q1145731,University of Technology Sydney,education
http://www.wikidata.org/entity/Q12281166,http://www.wikidata.org/entity/Q658975,University of Lausanne,education
http://www.wikidata.org/entity/Q12298530,http://www.wikidata.org/entity/Q2027233,reserve officers academy,education
http://www.wikidata.org/entity/Q12298530,http://www.wikidata.org/entity/Q20498506,Union of Bulgarian Journalists,membership
http://www.wikidata.org/entity/Q12298530,http://www.wikidata.org/entity/Q2652164,Writers Union of Bulgaria,membership
http://www.wikidata.org/entity/Q1230935,http://www.wikidata.org/entity/Q1425328,USSR Union of Writers,membership
http://www.wikidata.org/entity/Q123110455,http://www.wikidata.org/entity/Q1050307,Catalunya Ràdio,employment
http://www.wikidata.org/entity/Q123110455,http://www.wikidata.org/entity/Q219615,University of Barcelona,education
http://www.wikidata.org/entity/Q123110455,http://www.wikidata.org/entity/Q3323383,Corporació Catalana de Mitjans Audiovisuals,employment
http://www.wikidata.org/entity/Q123110455,http://www.wikidata.org/entity/Q43452,Autonomous University of Barcelona,education
http://www.wikidata.org/entity/Q123110455,http://www.wikidata.org/entity/Q935960,TV3,employment
http://www.wikidata.org/entity/Q12328239,http://www.wikidata.org/entity/Q2166335,University of Southern Denmark,education
http://www.wikidata.org/entity/Q123352,http://www.wikidata.org/entity/Q131478,Der Spiegel,employment
http://www.wikidata.org/entity/Q123352,http://www.wikidata.org/entity/Q156725,University of Hamburg,education
http://www.wikidata.org/entity/Q123352,http://www.wikidata.org/entity/Q158322,Stern,employment
http://www.wikidata.org/entity/Q123414022,http://www.wikidata.org/entity/Q1397143,Fars News Agency,employment
http://www.wikidata.org/entity/Q123414022,http://www.wikidata.org/entity/Q17070845,Tasnim News Agency,employment
http://www.wikidata.org/entity/Q123531486,http://www.wikidata.org/entity/Q130879,Reuters,employment
http://www.wikidata.org/entity/Q123531486,http://www.wikidata.org/entity/Q7374234,Royal Grammar School,education
http://www.wikidata.org/entity/Q123605962,http://www.wikidata.org/entity/Q13717,Libération,employment
http://www.wikidata.org/entity/Q123605962,http://www.wikidata.org/entity/Q1788906,L'Orient-Le Jour,employment
http://www.wikidata.org/entity/Q123605962,http://www.wikidata.org/entity/Q245247,King's College London,education
http://www.wikidata.org/entity/Q123605962,http://www.wikidata.org/entity/Q3152163,Institut des hautes études des communications sociales,education
http://www.wikidata.org/entity/Q123605962,http://www.wikidata.org/entity/Q3205137,L'Écho,employment
http://www.wikidata.org/entity/Q123605962,http://www.wikidata.org/entity/Q5225567,Dart Center for Journalism and Trauma,education
http://www.wikidata.org/entity/Q1238249,http://www.wikidata.org/entity/Q1592074,Lafayette College,education
http://www.wikidata.org/entity/Q1238249,http://www.wikidata.org/entity/Q926749,Lycée Condorcet,education
http://www.wikidata.org/entity/Q1238740,http://www.wikidata.org/entity/Q13371,Harvard University,education
http://www.wikidata.org/entity/Q1238740,http://www.wikidata.org/entity/Q7059380,Northfield Mount Hermon School,education
http://www.wikidata.org/entity/Q1239329,http://www.wikidata.org/entity/Q15228885,Arts and Media School Islington,education
http://www.wikidata.org/entity/Q12411282,http://www.wikidata.org/entity/Q4026048,HaHadashot 12,employment
http://www.wikidata.org/entity/Q124158563,http://www.wikidata.org/entity/Q2429494,Television of Catalonia,employment
http://www.wikidata.org/entity/Q124343135,http://www.wikidata.org/entity/Q221653,Utrecht University,education
http://www.wikidata.org/entity/Q124343135,http://www.wikidata.org/entity/Q689481,Nederlands Dagblad,employment
http://www.wikidata.org/entity/Q124518825,http://www.wikidata.org/entity/Q26683,Palestine Liberation Organization,membership
http://www.wikidata.org/entity/Q124625819,http://www.wikidata.org/entity/Q13164,Lomonosov Moscow State University,education
http://www.wikidata.org/entity/Q124625819,http://www.wikidata.org/entity/Q30889494,"25 January Committee",membership
http://www.wikidata.org/entity/Q125157034,http://www.wikidata.org/entity/Q30889494,"25 January Committee",membership
http://www.wikidata.org/entity/Q125357637,http://www.wikidata.org/entity/Q104481518,State University of Economics and Technology,education
http://www.wikidata.org/entity/Q125523559,http://www.wikidata.org/entity/Q5338172,Edinburgh College of Art,education
http://www.wikidata.org/entity/Q125526373,http://www.wikidata.org/entity/Q493845,United Press International,employment
http://www.wikidata.org/entity/Q125535046,http://www.wikidata.org/entity/Q4439029,Stavropol State University,education
http://www.wikidata.org/entity/Q125649890,http://www.wikidata.org/entity/Q1022995,CBS Radio,employment
http://www.wikidata.org/entity/Q125649890,http://www.wikidata.org/entity/Q1342484,Robert College,education
http://www.wikidata.org/entity/Q125649890,http://www.wikidata.org/entity/Q49166,Williams College,education
http://www.wikidata.org/entity/Q125649890,http://www.wikidata.org/entity/Q5250893,Deerfield Academy,education
http://www.wikidata.org/entity/Q125649890,http://www.wikidata.org/entity/Q81173,Exeter College,education
http://www.wikidata.org/entity/Q125649890,http://www.wikidata.org/entity/Q9684,The New York Times,employment
http://www.wikidata.org/entity/Q12645802,http://www.wikidata.org/entity/Q12627213,"Faculty of Architecture, University of Zagreb",education
